Student_ID,Age,Gender,Course_Year,Attendance_Percentage,Assignment_Submission_Rate,Quiz_Average_Score,Midterm_Score,Previous_GPA,Online_Learning_Hours,Course_Participation_Score,Forum_Activity_Count,Login_Frequency_Per_Week,Learning_Resource_Access_Count,Late_Submission_Count,Missing_Assignment_Count,Study_Plan_Adherence,Academic_Counseling_Received,Tutoring_Support_Received,Adaptive_Learning_Resource_Used,Performance_Score,Final_Academic_Score,Intervention_Recommendation,Academic_Risk_Level,Academic_Risk_Class
1,23,Male,2,76.35,42.02,35.15,48.41,3.59,6.75,79.29,32,2,28,3,3,79.61,0,1,1,62.26,66.82,Adaptive Learning Resources,Medium Risk,1
2,20,Female,1,69.88,38.63,82.98,24.43,2.07,13.7,33.82,1,10,43,4,4,70.05,0,1,1,51.87,57.23,Adaptive Learning Resources,Medium Risk,1
3,24,Female,2,83.69,44.27,28.15,59.4,1.58,8.32,88.91,9,9,27,1,3,54.59,0,0,0,58.13,60.42,Adaptive Learning Resources,Medium Risk,1
4,21,Male,1,50.28,89.93,42.66,50.83,2.59,12.5,54.33,14,4,53,1,5,92.14,1,0,0,62.4,70.14,Adaptive Learning Resources,Medium Risk,1
5,23,Male,3,92.09,61.44,45.68,20.99,3.43,10.25,36.71,11,8,28,9,2,15.31,0,1,1,47.63,52.99,Adaptive Learning Resources,Medium Risk,1
6,19,Female,4,69.54,32.63,65.05,69.92,2.06,6.98,65.8,2,11,52,8,5,19.06,1,1,0,33.28,37.8,Academic Counseling and Tutoring,High Risk,2
7,23,Female,1,74.23,81.96,82.14,11.84,3.54,5.4,43.05,3,7,69,5,4,56.35,0,1,1,55.35,59.28,Adaptive Learning Resources,Medium Risk,1
8,24,Female,1,40.85,36.68,34.62,21.37,1.98,2.2,42.96,8,5,62,2,7,36.02,0,0,0,15.76,22.34,Academic Counseling and Tutoring,High Risk,2
9,21,Female,4,55.12,53.0,32.49,73.01,3.21,0.7,29.16,41,11,35,1,3,51.58,1,0,0,57.79,62.19,Adaptive Learning Resources,Medium Risk,1
10,20,Male,3,62.74,65.45,33.86,57.51,1.35,0.52,37.11,9,4,76,8,3,39.41,0,0,1,21.81,24.94,Academic Counseling and Tutoring,High Risk,2
11,24,Female,1,61.9,66.76,47.44,35.37,1.19,3.78,83.83,30,6,4,6,3,34.66,0,0,0,29.73,35.7,Academic Counseling and Tutoring,High Risk,2
