feature,importance
Missing_Assignment_Count,22.426576134512132
Late_Submission_Count,19.187599031998158
Previous_GPA,15.458922816499705
Midterm_Score,8.326486973040128
Online_Learning_Hours,8.261016615894427
Quiz_Average_Score,6.306009759498694
Assignment_Submission_Rate,4.876324191288414
Attendance_Percentage,4.524485577023555
Course_Participation_Score,3.326997375332797
Login_Frequency_Per_Week,2.7065279458591127
Study_Plan_Adherence,2.6462694586215942
Learning_Resource_Access_Count,1.472632899629758
Forum_Activity_Count,0.21129391013494175
Age,0.11129604282583161
Gender,0.06863253815860625
