feature,importance
Previous_GPA,592.1723088328368
Missing_Assignment_Count,473.1867391973186
Midterm_Score,466.3694099595652
Online_Learning_Hours,448.6038774595655
Late_Submission_Count,445.61459020329124
Quiz_Average_Score,368.3577390596833
Attendance_Percentage,328.15755208640684
Assignment_Submission_Rate,318.49670027896406
Course_Participation_Score,268.853793280332
Study_Plan_Adherence,240.68251678953425
Login_Frequency_Per_Week,166.19517594320342
Learning_Resource_Access_Count,162.63457325783608
Forum_Activity_Count,80.81701624383552
Age,39.78876794186037
Course_Year,17.518829865380603
